Metric Name,SQL Statement,Solution KM Note,Solution for the issue,Application Code,Issue Summary,Issue Description,Issue Severity,Product to raise SR if help needed,Sr Component,Sr Sub Component,Scheduling,Scheduling Details,Business Flow,Business Impact,Prod Family,Prod Area
ME$EBS_FIN_GL_DUPLICATES_IN_GL_CODE_COMBINATIONS,"SELECT cck.concatenated_segments segment
FROM gl_code_combinations_kfv cck,
fnd_user ffu
WHERE ffu.user_id = cck.last_updated_by
AND (cck.concatenated_segments,
cck.chart_of_accounts_id,
NVL(cck.template_id, -99)) IN
(SELECT cck.concatenated_segments,
cck.chart_of_accounts_id,
NVL(cck.template_id, -99)
FROM gl_code_combinations_kfv cck
GROUP BY cck.concatenated_segments,
cck.chart_of_accounts_id,
NVL(cck.template_id, -99)
HAVING COUNT(*) >1)
AND   rownum < 2",1068370.6,"SYMPTOMS
============
Duplicate rows exist in the GL_CODE_COMBINATIONS table.
There are rows in GL_CODE_COMBINATIONS with the same values for all segments.  The code_combination_ids are different.

Errors such as ora-01427 in GLPPOS occur:
PERF0005: Oracle error detected in glpiucc - ORA-01427: single-row subquery returns more than one row             
When the flexfield is frozen by navigating to financial > flexfields > key > segments screen, the job may execute completes successfully.

CAUSE
============
This issue maybe caused by running a bespoke code combination routine on a custom interface to GL. 

SOLUTION
============
A data fix will be required from Support.  If you would like to correct these lines with a data fix, please update the SR and Support will engage appropriately.

KNOWLEDGE MANAGEMENT 
=====================
GL: Duplicates in GL_CODE_COMBINATIONS Table (Doc ID 1068370.6)",SQLGL,Duplicate rows in the GL_CODE_COMBINATIONS table.,Duplicates Code Combinations exists in the GL_CODE_COMBINATIONS Table.,2,Oracle General Ledger,SETUP,FLEX,WEEK,SAT,Accounting to Financial Reports: Reporting,There should not be any duplicate records for the GL Account combinations. Duplicate code combinations will lead to Balance Corruption and results incorrect accounting.,EBS Financials,EBS - Financial Control
ME$EBS_FIN_GL_JE_NOT_IN_SL,"select 
  a.j_name j_name,
 a.Source Source,
 a.Category Category,
 a.Posted_Date Posted_Date,
  a.ledger_name Ledger_Name,
  a.CURRENCY Currency
from (
WITH ledger_a AS
  (SELECT gpm.period_name,
    gps.closing_status,
    led.*
  FROM gl_ledgers led,
    GL.GL_DATE_PERIOD_MAP gpm,
    gl_period_statuses gps
  WHERE to_date(gpm.accounting_date, 'DD-MON-YY')= to_date(sysdate , 'DD-MON-YY')
  AND gpm.period_set_name                        =led.period_set_name
  AND gpm.period_type                            =led.accounted_period_type
  AND led.complete_flag                          ='Y'
  AND led.FIRST_LEDGER_PERIOD_NAME              IS NOT NULL
  AND gps.ledger_id                              =led.ledger_id
  AND gpm.period_name                            =gps.period_name
  AND gps.application_id                         =101
  AND gps.closing_status                        IN ('C', 'O','P')
  ) ,
  relationship AS
  (SELECT SOURCE_LEDGER_ID,
    glr.target_ledger_id,
    gir.je_rule_set_id,
    gir.je_source_name,
    gir.je_category_name,
    gir.user_updatable_flag USER_UPDATABLE_FLAG,
    gir.include_flag INCLUDE_FLAG
  FROM gl_je_inclusion_rules gir,
    gl_ledger_relationships glr
  WHERE relationship_enabled_flag ='Y'
  AND relationship_type_code     <> 'NONE'
  AND relationship_type_code     <> 'BALANCE'
  AND glr.application_id          = 101
  AND glr.gl_je_conversion_set_id =gir.je_rule_set_id
  )
SELECT gh.name j_name,
  gh.je_source Source,
  gh.je_category Category,
  gh.Posted_Date Posted_Date,
  led1.name ledger_name,
  gh.currency_code CURRENCY
FROM gl_je_headers gh,
  ledger_a led1
WHERE gh.ledger_id = led1.ledger_id
AND gh.period_name = led1.period_name
AND gh.status      = 'P'
AND gh.actual_flag ='A'
AND NOT EXISTS
  (SELECT 1
  FROM gl_je_headers h,
    relationship glr
  WHERE h.ledger_id        = glr.target_ledger_id
  AND glr.source_ledger_id = led1.ledger_id
  AND h.parent_je_header_id=gh.je_header_id
  )
AND EXISTS
  (SELECT 1
  FROM relationship glr
  WHERE glr.source_ledger_id                                                  = led1.ledger_id
  AND glr.include_flag                                                        ='Y'
  AND DECODE(glr.je_source_name,'Other',gh.je_source,glr.je_source_name)      =gh.je_source
  AND DECODE(glr.je_category_name,'Other',gh.je_category,glr.je_category_name)=gh.je_category
  )
AND NOT EXISTS
  (SELECT 1
  FROM relationship glr
  WHERE glr.source_ledger_id                                                  = gh.ledger_id
  AND glr.include_flag                                                        ='N'
  AND glr.je_source_name                                                      =gh.je_source
  AND DECODE(glr.je_category_name,'Other',gh.je_category,glr.je_category_name)=gh.je_category
  )
) a WHERE rownum < 2",2137066.1,"Secondary Ledgers functionality was released as a part of R12 application package. This functionality allows one to maintain a mirror image of Primary ledger, with a different SLAM/Currency/Chart of Accounts/Calendar but with least efforts. While the feature eases out ledger maintenance, one area where normally users need to make additional efforts is their Reconciliation.

The diagnostics created and listed below are aimed at identifying most probable/common reasons for difference in balances from Primary and Secondary.While the diagnostics is aimed at providing initial pointers for reconciliation, we would wish to re-iterate the fact that both Primary and Secondary ledgers are different entities in their own and it is possible that each has its own transactions which are not created/replicated in the other, causing difference in balances.
1. Conversion Level :Journal

The diagnostic Identifies mismatch in balances caused because of following reasons:

a) Journal Posted in Primary Not Replicated in Secondary
b) Journal Posted in One Ledger and Not in the Other
c) Journals That Exist in Secondary But with Different Effective Date than Primary
d) Journals That have a Replica in Secondary but Deleted from Primary
e) Reversal Status Mismatch
f) Duplicate Submodule Journals Created in Subledger Level Secondary Ledger
g) Code Issue Causing Posted Reversal Journals to be Deleted.

Diagnostic Usage Instructions

i) Download the script ""Pri_Sec_Ledger_Recon.sql"" into local folder
ii) Connect SQL/PLUS as apps user
iii) Run the script
iv) Enter the below parameters:

**Please note all the values are case sensitive**

Enter the File Name: Enter a file name for output. (Do not give file extension)

Primary Ledger Name :
Secondary Ledger Name:
Primary Period Name:
Secondary Period Name:

 
2. Conversion Level :Subledger

Subledger Level Secondary Ledgers need reconciliation from two aspects :

a) Reconciliation Between Submodules and Ledgers : Replication While Import for Subledger Journals

Reconciliation Between Submodules and Primary Ledger and
Reconciliation Between Submodules and Secondary Ledger

Please run the SLA Diagnostic from the below note :

How To Avoid and Fix Corruption in Data Transfer from SLA - Negative Ledger_ID, Not Reached GL, Duplicate in GL Note: 883557.1

b) Reconciliation of Journals from Posting: Replication While Posting for Non-Subledger Journals

Run the script ""Pri_Sec_Ledger_Recon.sql"" from Step1

An Enhancement request also has already been raised Bug: 17259072 RECONCILIATION BETWEEN THE PRIMARY LEDGER AND SUBLEDGER LEVEL SECONDARY LEDGER

You can follow up the progress of this enhancement by monitoring this defect via MyOracleSupport.

1. Select Document ID (Knowledge Base, Forum or Bug) in the Quick Find poplist
2. Enter the Bug number in the text field.
3. Click on Go.
4. The bug number and subject appear.
5. Click on the bug number in the results window.
6. Click on Bookmark.
7. Monitor periodically by clicking My Headlines then the Bookmarks button.

 
3. Conversion Level : Balances

If there are issues with this type of conversion please check the Consolidation Functionality

Please refer General Ledger FAQ for Global Consolidation (Doc ID 121769.1) or General Ledger User Guide on Consolidation.

  

Quick Tip : In cases where disparity still exists even after reconciling the transactions identified by the diagnostic, please consider checking for Balance Corruption. Its quite possible that balances show up incorrectly in one of the ledgers due to corruption and hence the mismatch. One can check for Corruption by running the Standard Report ""Account Analysis(132 chars)"" for a blanket account range. The report shall mark corrupted code combinations with an asterisk (*) indicating corruption. Please create an SR with support to rectify the corrupted balances",SQLGL,Primary and secondary balances do not reconcile,Primary and secondary balances do not reconcile,2,Oracle General Ledger,POST,POST,WEEK,SAT,Accounting to Financial Reports: Period Close,Journal posted in primary was not replicated in secondary as it should. Secondary ledger balances are not correct.,EBS Financials,EBS - Financial Control
ME$EBS_FIN_GL_JOURNAL_IMPORT_EM29,"select 
a.status status
, a.ledger_id ledger_id
, a.period_name period_name
, a.ccid_and_or_combination ccid_and_or_combination
, a.actual_flag actual_flag
, a.group_id group_id
from
(select 
gi.status status
, decode(gi.ledger_id, -1, gi.set_of_books_id, gi.ledger_id) ledger_id
, gp.period_name period_name
, decode (gi.code_combination_id, NULL, gi.segment1||'.'||gi.segment2||'.'||gi.segment3||'.'||gi.segment4||'.'||gi.segment5||'.'||gi.segment6||'.'||gi.segment7||'.'||gi.segment8||'.'||gi.segment9||'.'||gi.segment10, gi.code_combination_id ||' ('|| gcc.concatenated_segments ||')') ccid_and_or_combination
, gi.actual_flag actual_flag
, gi.group_id group_id
from
gl_interface gi,
gl_ledgers gll,
gl_code_combinations_kfv gcc,
gl_periods GP
where decode(gi.ledger_id, -1, gi.set_of_books_id, gi.ledger_id) = gll.ledger_id
AND gp.period_set_name = gll.period_set_name 
and gp.period_type = gll.accounted_period_type
/*AND gll.period_set_name = 'Accounting' */
and gi.accounting_date between gp.start_date and gp.end_date
and gi.code_combination_id = gcc.code_combination_id(+)
and gi.status like '%EM29%'
and rownum < 2) a",872662.1,"To implement the solution, please execute the following steps:

1. Set the profile option GL: Data Access Set to Responsibility with data access set which has access to BSVs involved in gl_interface data to be imported;
    a) Navigate to System Administrator->profiles->System; 
    b) Select Responsibility and Query profile option GL: Data Access Set 
    c) Assign Data Access Set which has access to Ledger BSVs

2. Resubmit Journal import program from above responsibility.",SQLGL,Journal Import Ends With Error EM29,Journal Import Ends With Error EM29 You do not have access to this ledger and account combination.,3,Oracle General Ledger,JE_IMPORT,JIMP,MONTH,LAST,Accounting to Financial Reports: Reporting,"Accounting transactions are originated as a result of normal business activities in Financial and Manufacturing modules of Oracle Applications, as well as in external modules. In order to register those transactions into the General Ledger, a process called Journal Import must complete successfully. Having rows in GL_INTERFACE table with error status may impact Period Close.",EBS Financials,EBS - Financial Control
ME$EBS_FIN_GL_INCORRECT_SUMMARY_ACCOUNTS,"SELECT CODE_COMBINATION_ID CODE_COMBINATION_ID,
CHART_OF_ACCOUNTS_ID CHART_OF_ACCOUNTS_ID,
ACCOUNT_TYPE ACCOUNT_TYPE,
SUMMARY_FLAG SUMMARY_FLAG,
TEMPLATE_ID TEMPLATE_ID
FROM
(SELECT *
FROM GL_CODE_COMBINATIONS
WHERE (SUMMARY_FLAG='N'
AND TEMPLATE_ID IS NOT NULL)
OR
(SUMMARY_FLAG='Y'
AND TEMPLATE_ID IS NULL))
WHERE Rownum < 2",2500674.1,"SYMPTOMS
============
GLPPOS fails for some batches, with the following error:-

PPOS0225: glpubr(): Number of updated GL_BALANCES rows does not equal the
number or rows in GL_POSTING_INTERIM_36772 table.
PPOS0226: Balances update will be ROLLED BACK. Posting is stopping here.

<x glpubr() 04-JAN-2008 08:45:15

> />gluerr() 04-JAN-2008 08:45:15 
Error in ROUTINE: glpubr, status: 0
SHRD0043: ERROR:
glpubr:updated balances rows != gl_interim_posting rows. Posting stops.
CALL YOUR CUSTOMER SUPPORT REPRESENTATIVE!

***************************************************
sqlcaid: sqlabc: 0 sqlcode: 0 sqlerrml: 0
sqlerrmc:
ORA-01403: no data found

sqlerrp: sqlerrd: 0 0 12060 0 0 0
sqlwarn: sqltext:
*****************************************************

CAUSE
============
The cause of the issue is invalid / incorrect data in gl_balances
The ccid should not have one record with a template_id and the rest of the records with a null
template_id.
If it is a summary account then template_id should be populated for all periods.
If it is a child account then template_id should be null for all periods.
Because there are 2 entries in gl_balances, one with a null template_id and one with a not-null
template_id, this results in extra records in the interim table and hence the error message.

SOLUTION
============
A data fix will be required from Support.  If you would like to correct this issue with a data fix, please update the SR and Support will engage appropriately.

KNOWLEDGE MANAGEMENT 
=====================
Monitoring Services: R12 GL Summary Templates corruption (Doc ID 2500674.1)",SQLGL,Summary Templates has been corrupted,User can identify the summary templates which has been corrupted.,2,Oracle General Ledger,SUMMARY,SUMM,WEEK,SAT,Accounting to Financial Reports: Period Close,"Due to the incorrect summary accounts system will not update the correct balance for summary accounts, which will leads to balance corruption.",EBS Financials,EBS - Financial Control
ME$EBS_FIN_GL_POSTING_STATUS_ERROR7,"SELECT
    ledger_id ledger_id,
    name journal_name,
    enabled_flag enabled_flag,
    code_combination_range code_combination_range,
    concatenated_segments concatenated_segments,
    line_no line_no
FROM
    (
        SELECT
            gl.ledger_id,
            gh.name,
            c.enabled_flag,
            ( 'Start Date:'
             ||  c.start_date_active
             ||  ' / End Date:'
             ||  c.end_date_active ) code_combination_range,
            gcc.concatenated_segments,
            l.je_line_num line_no
        FROM
            gl_je_lines l,
            gl_code_combinations c,
            gl_ledgers gl,
            gl_je_headers gh,
            gl_je_batches gb,
            gl_code_combinations_kfv gcc
        WHERE
            gh.status NOT IN (
                'P','U'
            )
        AND
            l.status = 'U'
        AND
            c.code_combination_id = gcc.code_combination_id
        AND
            gh.je_header_id = l.je_header_id
        AND
            gh.je_batch_id = gb.je_batch_id
        AND
            gl.ledger_id = l.ledger_id
        AND
            l.creation_date >= SYSDATE - 30
        AND
            l.code_combination_id = c.code_combination_id
        AND (
                c.enabled_flag = 'N'
            OR
                l.effective_date NOT BETWEEN nvl(c.start_date_active,l.effective_date) AND nvl(c.end_date_active,'31-DEC-4712')
        )
    )
where rownum<1000",2105859.1,"The Posting Execution report will provide a list of journal lines that are in error.
There is no standard Oracle General Ledger (GL) query or report to provide the specific account combination that may be disabled or invalid.

1. To view the account combination for the line that is in error:
   Query the Batch with the issue:
   Journal -> Enter
   Review the specific line and the account.
   There is only one account per journal line.

2. Alternate method when there are multiple journal lines in error.

Execute the following SQL substituting the journal header ID to retrieve the results.
Select l.je_line_num
, l.code_combination_id
, l.status
, l.entered_dr
, l.entered_cr
, c.*
from gl_je_lines l,
gl_code_combinations c
where l.je_header_id = &journal_header_ID
and l.code_combination_id = c.code_combination_id
and (c.enabled_flag = 'N'
or l.effective_date not between nvl(c.start_date_active, sysdate-1) and nvl(c.end_date_active, sysdate+1));

 
3.  The Posting Execution report does not display the specific account code combination, it displays the code combination ID for the journal line that errors.",SQLGL,Error7 - Showing invalid journal entry lines or no journal entry lines,Identified journal lines with inactive code combinations.,4,Oracle General Ledger,POST,POST,WEEK,SAT,Accounting to Financial Reports: Period Close,Inactive Code combinations will effect Posting program.,EBS Financials,EBS - Financial Control
ME$EBS_FIN_GL_MASS_ALLOCATION_STUCK_IP,"select a.allocation_batch_id allocation_batch_id
, a.batch_name batch_name
, a.validation_status validation_status
from
((select gab.allocation_batch_id allocation_batch_id
, gab.name batch_name
, gab.validation_status validation_status
from gl_alloc_batches gab 
where gab.validation_status = 'I') 
UNION
(select gaf.allocation_batch_id allocation_batch_id
, gaf.name batch_name
, gaf.validation_status validation_status
from gl_alloc_formulas gaf where gaf.allocation_batch_id in
(select gab1.allocation_batch_id  from gl_alloc_batches gab1 where gab1.validation_status = 'I')) )a
where rownum<1000",1223537.1,"SYMPTOMS
============
While defining mass allocation formulas, the 'Validate All' button was pressed. The GLAVAL module: Validate MassAllocations request completed with error (signal 11) and the validation status of the formula is now stuck  at 'In process' and the formula cannot be modified.

ERROR
---------
>> glavop() 23-NOV-2008 08:09:01
/lnx_temdev/temdev/appl/gl/11.5.0/bin/GLAVAL
Program was terminated by signal 11

CAUSE
============
The program failed with a signal 11 - because of resource issues.

When the 'Validate all' process started, as the program went through  the validation --the status for the formula was set to 'In Process'   (i.e. validation in process)  
If it had completed successfully -- the validation would be set to Validated or Not validated, if there were errors.
Since it failed -- the status was stuck in limbo with an 'In Process' status.

This 'In process'  prevents you from modifying the formula, because it tells the system -- that this data is being processed (when in actuality the process had failed mid stream)

SOLUTION
============
A data fix will be required from Support.  If you would like to correct these lines with a data fix, please update the SR and Support will engage appropriately.

KNOWLEDGE MANAGEMENT 
=====================
GLAVAL Validate MassAllocations Terminated with Signal 11, Both Validation Status on Mass Allocation Batch And Formula Are Stuck at 'In Process' (Doc ID 1223537.1)",SQLGL,Mass Allocation batch and/or formula is Stuck In Process Status,Mass Allocation batch and/or formula is Stuck 'In Process' Status,3,Oracle General Ledger,MASSALLOC,MASS,WEEK,SAT,Accounting to Financial Reports: Reporting,Mass Allocation Batch is stuck in Process and couldn't be created,EBS Financials,EBS - Financial Control
ME$EBS_FIN_GL_BATCH_STATUS_ERROR3,"SELECT
    ledger_id ledger_id,
    batch_name batch_name,
    header_name header_name,
    batch_status batch_status,
    header_status header_status,
    line_status line_status
FROM
    (
        SELECT DISTINCT
            ledger_id ledger_id,
            b_name batch_name,
            h_name header_name,
            b_status batch_status,
            h_status header_status,
            l_status line_status
        FROM
            (
                WITH ledger AS (
                    SELECT UNIQUE
                        gpm.period_name,
                        gps.closing_status,
                        led.ledger_id
                    FROM
                        gl_ledgers led,
                        gl.gl_date_period_map gpm,
                        gl_period_statuses gps
                    WHERE
                        EXTRACT(YEAR FROM gpm.accounting_date) = EXTRACT(YEAR FROM SYSDATE)
                    AND
                        gpm.period_set_name = led.period_set_name
                    AND
                        gpm.period_type = led.accounted_period_type
                    AND
                        led.complete_flag = 'Y'
                    AND
                        led.first_ledger_period_name IS NOT NULL
                    AND
                        gps.ledger_id = led.ledger_id
                    AND
                        gpm.period_name = gps.period_name
                    AND
                        gps.application_id = 101
                    AND
                        gps.closing_status IN (
                            'C','O','P','F'
                        )
                ) SELECT
                    jel.ledger_id ledger_id,
                    jeb.name b_name,
                    jeh.name h_name,
                    jeb.status b_status,
                    jeh.status h_status,
                    jel.status l_status
                FROM
                    gl_je_lines jel,
                    gl_je_headers jeh,
                    gl_je_batches jeb,
                    ledger led
                WHERE
                    jeh.ledger_id = led.ledger_id
                AND
                    jeh.je_header_id = jel.je_header_id
                AND
                    jeb.je_batch_id = jeh.je_batch_id
                AND
                    jel.period_name = led.period_name
                AND
                    jeh.status = 'P'
                AND
                    jel.status = 'P'
                AND
                    jeb.status = 'E'
            )
    )
where rownum<1000",2481368.1,"SYMPTOMS
============
The General Ledger Posting program is failing for several batches with ""Error3 - Showing no journal entries"" for this batch.
Reviewing gl_je_batches you see that the batch has a status of 'E'.
The header has a status of 'P' and all the lines  have a status of 'P'.

CAUSE
============
The cause for this issue is data corruption as determined by Troubleshooting Journal Batch Posting Status with Error% Doc ID 1390899.1.
Error3 - Showing no journal entries for this batch

SOLUTION
============
A data fix will be required from Support.  If you would like to correct these journals with a data fix, please update the SR and Support will engage appropriately.

KNOWLEDGE MANAGEMENT 
=====================
GLPPOS:Posting Ends with "" Error3 - Showing no journal entries"" (Doc ID 2481368.1)",SQLGL,Posting program is failing for several batches with Error3,Identified journals with incorrect batch status(E) where all journal lines posted successfully(Line Status = P).,4,Oracle General Ledger,POST,POST,WEEK,SAT,Accounting to Financial Reports: Period Close,"Journal Batch Status ""E"" represents Data Corruption.Journal with batch Status ""E"" cannot post to General Ledger.",EBS Financials,EBS - Financial Control
ME$EBS_FIN_GL_JOURNAL_IMPORT_EU02,"select 
a.status status
, a.ledger_id ledger_id
, a.period_name period_name
, a.ccid_and_or_combination ccid_and_or_combination
, a.actual_flag actual_flag
, a.group_id group_id
from
(select 
gi.status status
, decode(gi.ledger_id, -1, gi.set_of_books_id, gi.ledger_id) ledger_id
, gp.period_name period_name
, decode (gi.code_combination_id, NULL, gi.segment1||'.'||gi.segment2||'.'||gi.segment3||'.'||gi.segment4||'.'||gi.segment5||'.'||gi.segment6||'.'||gi.segment7||'.'||gi.segment8||'.'||gi.segment9||'.'||gi.segment10, gi.code_combination_id ||' ('|| gcc.concatenated_segments ||')') ccid_and_or_combination
, gi.actual_flag actual_flag
, gi.group_id group_id
from
gl_interface gi,
gl_ledgers gll,
gl_code_combinations_kfv gcc,
gl_periods GP
where decode(gi.ledger_id, -1, gi.set_of_books_id, gi.ledger_id) = gll.ledger_id
AND gp.period_set_name = gll.period_set_name 
and gp.period_type = gll.accounted_period_type
/* AND gll.period_set_name = 'Accounting' */
and gi.accounting_date between gp.start_date and gp.end_date
and gi.code_combination_id = gcc.code_combination_id(+)
and gi.status like '%EU02%'
and rownum < 2) a",1423023.1,"For all solutions requiring installation of a patch, do the following:

1.Download and install the patch recommended in the FIX column of Note 1423023.1 as appropriate.
NOTE: If the patch is labeled as “Controlled” release the version of the patch is only available from support. Please update the SR and Support will engage appropriately.

If the patch is labeled as “General” Release, or if the release status is not stated, the patch is available and no password is required.

2. Read the readme.txt and ensure all prerequisites are met.
3. Install on a TEST instance experiencing the same issue, after having done appropriate backups.
4. After installation, If file versions are provided, please ensure the newly installed files are at same or greater version as those stated in the solution.

Use the following command to check file versions:
strings -a $GL_TOP/bin/GLLEZL |grep '$Header' | more

5. Bounce the server
6. Test the issue
7. If the issue is resolved, migrate to other instances as appropriate.",SQLGL,Journal Import Ends With Error EU02,EU02 This journal entry is unbalanced and suspense posting is not allowed in this set of books.,3,Oracle General Ledger,JE_IMPORT,JIMP,MONTH,LAST,Accounting to Financial Reports: Reporting,"Accounting transactions are originated as a result of normal business activities in Financial and Manufacturing modules of Oracle Applications, as well as in external modules. In order to register those transactions into the General Ledger, a process called Journal Import must complete successfully. Having rows in GL_INTERFACE table with error status may impact Period Close.",EBS Financials,EBS - Financial Control
ME$EBS_FIN_GL_CONSOL_DUPLICATE_EU02,"SELECT
    name name,
    je_line_num je_line_num,
    ledger_id ledger_id,
    period_name period_name,
    accounted_dr accounted_dr,
    accounted_cr accounted_cr
FROM
    (
        SELECT
            gjh.name name,
            gjl.je_line_num je_line_num,
            gjl.ledger_id ledger_id,
            gjl.period_name period_name,
            gjl.accounted_dr accounted_dr,
            gjl.accounted_cr accounted_cr,
            COUNT(*) OVER(
                PARTITION BY gjl.je_line_num,
                gjl.ledger_id,
                gjl.period_name,
                gjl.accounted_dr,
                gjl.accounted_cr
            ) c_count
        FROM
            gl_je_lines gjl,
            gl_ledgers gl,
            gl_je_headers gjh
        WHERE
            1 = 1
            AND   gjl.ledger_id = gl.ledger_id
            AND   gl.consolidation_ledger_flag = 'Y'
            AND   gjh.je_header_id = gjl.je_header_id
            AND   gjh.default_effective_date > sysdate - 30
    ) a
WHERE
    a.c_count > 1
and rownum<1000
ORDER BY
    name",1068100.1,"Please note that changing the value set of a Chart of Accounts which is already assigned to a Set of Books is strictly not supported.

To resolve the issue, follow the given steps:
1. Define a new mapping between the Parent set of books and subsidiary set of books. Define it exactly similar to the one that you are using currently.
2. Delete the existing Consolidation data from GL_INTERFACE after taking a backup. In case the issue is identified as incorrect data in the Parent set of books, reverse the consolidation journals that have the incorrect data.
3. Rerun consolidation without journal import and once the data reaches GL_INTERFACE, confirm that there is no duplication now.
4. Run Journal Import and confirm the results.",SQLGL,Journal Import Failed With Error EU02 While Running Consolidation,Identified the Duplicate data in the table gl_cons_segment_map for Consolidation ledger,4,Oracle General Ledger,GCS,CONS,MONTH,LAST,Accounting to Financial Reports: Period Close,When value set assigned to the Chart of Accounts was changed after defining the consolidation Mapping and will result in corruption in gl_cons_segment_map table and which causes issue in journal import and delays period closing.,EBS Financials,EBS - Financial Control
ME$EBS_FIN_GL_JOURNAL_IMPORT_EF02,"select 
a.status status
, a.ledger_id ledger_id
, a.period_name period_name
, a.ccid_and_or_combination ccid_and_or_combination
, a.actual_flag actual_flag
, a.group_id group_id
from
(select 
gi.status status
, decode(gi.ledger_id, -1, gi.set_of_books_id, gi.ledger_id) ledger_id
, gp.period_name period_name
, decode (gi.code_combination_id, NULL, gi.segment1||'.'||gi.segment2||'.'||gi.segment3||'.'||gi.segment4||'.'||gi.segment5||'.'||gi.segment6||'.'||gi.segment7||'.'||gi.segment8||'.'||gi.segment9||'.'||gi.segment10, gi.code_combination_id ||' ('|| gcc.concatenated_segments ||')') ccid_and_or_combination
, gi.actual_flag actual_flag
, gi.group_id group_id
from
gl_interface gi,
gl_ledgers gll,
gl_code_combinations_kfv gcc,
gl_periods GP
where decode(gi.ledger_id, -1, gi.set_of_books_id, gi.ledger_id) = gll.ledger_id
AND gp.period_set_name = gll.period_set_name 
and gp.period_type = gll.accounted_period_type
/* AND gll.period_set_name = 'Accounting' */
and gi.accounting_date between gp.start_date and gp.end_date
and gi.code_combination_id = gcc.code_combination_id(+)
and gi.status like '%EF02%'
and rownum < 2) a",1570294.1,"The data being imported is for Budgets.
1. Verify if the accounting flexfield in question, has the qualifier ""Budgeting Allowed "" flag was set to No.
    This may be verified by retrieving data for the account combination in question using a statement similar to the one below:
select *
from gl_code_combinations
where segment1 = '&value'
and segment2 = '&value'
and segment3 = '&value' and segment4 = '&value';

 

2. If column DETAIL_BUDGETING_ALLOWED_FLAG is set to No,
    Navigate to Setup: Account Combinations

3. Query the problem account combination and set flag ""Allow Budgeting"" to Yes.

4. Save, then submit Journal Import again and verify it completes successfully.",SQLGL,Journal Import Ends With Error EF02,Journal Import Ends With Error EF02 Detail posting not allowed for this Accounting Flexfield.,3,Oracle General Ledger,JE_IMPORT,JIMP,MONTH,LAST,Accounting to Financial Reports: Reporting,"Accounting transactions are originated as a result of normal business activities in Financial and Manufacturing modules of Oracle Applications, as well as in external modules. In order to register those transactions into the General Ledger, a process called Journal Import must complete successfully. Having rows in GL_INTERFACE table with error status may impact Period Close.",EBS Financials,EBS - Financial Control
